index	id	title	units	department	description	target_description	data_source	formula_week	formula_year	example	responsible	instruction_title	instruction_id	category	brand	target	target_type	relevance	type	subcategory
0	KPI01	Своевременность выгрузки.	% (ТС = Транспортное средство)	Склад товара	Время разгрузки ТС расчитываемое как отношение своевременно разгруженных ТС к общему кол-ву разгруженных ТС за отчетный период.	"Оценка эффективности процесса разгрузки транспортных средств.
"	"Axelot, отчет ""Анализ времени погрузо-разгрузочных работ"".Вариант ""KPI - Управление двором""."	"KPI01 = A/B * 100%, где:
А - кол-во своевременно разгруженных ТС, 
B - общее кол-во разгруженных ТС. 
ТС с типом операции ""Товар"", ""Транзит"".
Своевременно разгруженным является ТС, время разгрузки которого не превышает 4 часа."	KPI01y = AVG(KPI01m), где KPI01m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_in	Итого	0.98	higher	1	KPI	main
1	KPI02	Своевременность выгрузки.	% (ТС = Транспортное средство)	Склад оборудования	Время разгрузки ТС расчитываемое как отношение своевременно разгруженных ТС к общему кол-ву разгруженных ТС за отчетный период.	"Оценка эффективности процесса разгрузки транспортных средств.
"	"Axelot, отчет ""Анализ времени погрузо-разгрузочных работ"".Вариант ""KPI - Управление двором""."	"KPI02 = A/B * 100%, где:
А - кол-во своевременно разгруженных ТС, 
B - общее кол-во разгруженных ТС. 
ТС с типом операции ""Оборудование""..
Своевременно разгруженным является ТС, время разгрузки которого не превышает 4 часа."	KPI02y = AVG(KPI02m), где KPI02m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление оборудования	III-ДИ-УВЛ-Ин-05	transport_in	Итого	0.98	higher	1	KPI	main
2	KPI03	Своевременность погрузки.	% (ТС = Транспортное средство)	Склад товара	Время отгрузки ТС расчитываемое как отношение своевременно отгруженных ТС к общему кол-ву отгруженных ТС за период.	"Оценка эффективности процесса отгрузки транспортных средств.
"	"Axelot, отчет ""Анализ времени погрузо-разгрузочных работ"".Вариант ""KPI - Управление двором""."	"KPI03 = A/B * 100%, где: 
А - кол-во своевременно отгруженных ТС, 
B - общее кол-во отгруженных ТС. 
ТС с типом операции ""Товар"", ""Транзит"".
Своевременно отгруженным является ТС, время отгрузки которого не превышает 1 часа для СПб, 4 часа для остальных направлений."	KPI03y = AVG(KPI03m), где KPI03m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_out	Итого	0.98	higher	1	KPI	main
3	KPI04	Количество полученных возвратов с розницы.	шт. (штуки)	Склад товара	Количество шт., находящихся на складе в составе транзитных коробов, требующих выбраковки и приемки на сток на конец отчетного периода.	Оценка объема штук, накопившихся в ожидании старта приемки.	"Axelot, отчет ""Остатки"". Вариант ""KPI - Ожидание приемки вложенний возвратных коробов из розницы (Количество у.е., Количество коробов)"""	"KPI04 = SUM(A), где: 
А - количество шт. товара в составе не обработанного короба на конец отчетного периода. 
Не обработанным коробом является транзитный короб с конечным получателем склад, принятым на уровне короба и размещенным на временное хранение."	KPI04y = SUM(A); где А - количество шт. товара в составе не обработанного короба на конец отчетного периода. Не обработанным коробом является транзитный короб с конечным получателем склад, принятым на уровне короба и размещенным на хранение.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	5000.0	lower	1	SI	2
4	KPI05	Количество принятых возвратов с розницы.	шт. (штуки)	Склад товара	Количество шт., разбракованных и принятых на сток за отчетный период по документам приемки возвратов из розницы.	Оценка объема обработанных штук при приемке на сток.	"Axelot, таблица ""Строки приемки""."	"KPI05 = SUM(A), где: 
А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде."	KPI05y = SUM(A); где А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	5000.0	higher	1	SI	3
5	KPI07	Полнота обработки возвратов с розницы.	% шт. (штуки)	Склад товара	Полнота, рассчитываемая как отношение фактического количества принятых шт. к плановому количеству шт. по документам, завершенным в отчетном периоде.	Рассчет полноты приема товаров относительно планового количества.	"Axelot, отчет ""Контроль приемки""."	"KPI07 = A/B*100%, где: 
А - Сумма фактически принятого по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI07y = AVG(KPI07m), где KPI07m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.95		0	KPI	
6	KPI08	Своевременность приемки возвраты с розницы.	% кор. (короба)	Склад товара	Своевременность рассчитывается как отношение числа коробов, содержимое которых было принято на склад вовремя (менее чем через 72 часа после получения), к общему числу коробов, которые были приняты на склад за учетный период времени. Короба поступили из магазинов розницы.	"Измерение своевременности приемки товаров из магазинов розницы.
"		"KPI08 = A/B*100%, где: 
А - количество коробов, вложения которых приняты своевременно. 
B - общее количество коробов, содержимое которых было принято."	KPI08y = AVG(KPI08m), где KPI08m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.95	higher	1	KPI	main
7	KPI06	Производительность приемки возвратов с розницы.	% шт. (штуки)	Склад товара	Производительность, рассчитываемая как отношение фактической выработки задействованных сотрудников на операции по часам к запланированной выработке, согласно нормативу 60 шт./час.	Оценка эффективности работы сотрудников на операции в час.	"Axelot, отчет ""Выработка сотрудников по часам"" или дашборд ""Срез для старших смены"" в Power BI."	"KPI06 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (60 шт.)"	KPI06y = AVG(KPI06m), где KPI06m - значения ежемесячных показателей.	1500 / (30 * 60) * 100% = 80%	Менеджер смены	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.9		1	KPI	4
8	KPI09	Количество принятых транзитных коробов.	кор. (короба)	Склад товара	Количество коробов, принятых на складе за отчетный приод, с дальнейшей отгрузкой конечному получателю, либо с дальнейшим хранением или приемкой вложений на сток.	Оценка объема обработанных коробов при кроссе.	"Axelot, таблица ""Строки приемки""."	"KPI09 = SUM(A), где: 
А - количество принятых транзитных коробов за отчетный период. 
Транзитным коробом считается номенклатура, имеющая признак ""Транзитный короб""."	KPI09y = SUM(KPI09m); где KPI09m - значение месячных показателей.	1500	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого			1	SI	2
9	KPI11	Количество проблемных транзитных коробов.	кор. (короба)	Склад товара	Количество коробов, не принятых на конец периода по причинам отсутствия маркировки, документа приемки, поступивших вне реестра и.т.д.	Оценка количества коробов, не принятых из-за отсутствия маркировки или документов.	Визуальный подсчет в зоне проблемных коробов на складе.	"KPI11 = SUM(A); где: 
А - количество не принятых транзитных коробов на конец периода. "	KPI11y = SUM(A); где А - количество не принятых транзитных коробов на конец периода. 	50	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	10.0	lower	1	SI	3
