index	category	brand	target	target_type	relevance	type	subcategory	formula_week	formula_year	example	responsible	instruction_title	instruction_id	category.1	brand.1	target.1	target_type.1	relevance.1	type.1	subcategory.1
0	transport_in	Итого	0.98	higher	1	KPI	main	"KPI01 = A/B * 100%, где:
А - кол-во своевременно разгруженных ТС, 
B - общее кол-во разгруженных ТС. 
ТС с типом операции ""Товар"", ""Транзит"".
Своевременно разгруженным является ТС, время разгрузки которого не превышает 4 часа."	KPI01y = AVG(KPI01m), где KPI01m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_in	Итого	0.98	higher	1	KPI	main
1	transport_in	Итого	0.98	higher	1	KPI	main	"KPI02 = A/B * 100%, где:
А - кол-во своевременно разгруженных ТС, 
B - общее кол-во разгруженных ТС. 
ТС с типом операции ""Оборудование""..
Своевременно разгруженным является ТС, время разгрузки которого не превышает 4 часа."	KPI02y = AVG(KPI02m), где KPI02m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление оборудования	III-ДИ-УВЛ-Ин-05	transport_in	Итого	0.98	higher	1	KPI	main
2	transport_out	Итого	0.98	higher	1	KPI	main	"KPI03 = A/B * 100%, где: 
А - кол-во своевременно отгруженных ТС, 
B - общее кол-во отгруженных ТС. 
ТС с типом операции ""Товар"", ""Транзит"".
Своевременно отгруженным является ТС, время отгрузки которого не превышает 1 часа для СПб, 4 часа для остальных направлений."	KPI03y = AVG(KPI03m), где KPI03m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_out	Итого	0.98	higher	1	KPI	main
3	shop_invoice	Итого	5000.0	lower	1	SI	2	"KPI04 = SUM(A), где: 
А - количество шт. товара в составе не обработанного короба на конец отчетного периода. 
Не обработанным коробом является транзитный короб с конечным получателем склад, принятым на уровне короба и размещенным на временное хранение."	KPI04y = SUM(A); где А - количество шт. товара в составе не обработанного короба на конец отчетного периода. Не обработанным коробом является транзитный короб с конечным получателем склад, принятым на уровне короба и размещенным на хранение.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	5000.0	lower	1	SI	2
4	shop_invoice	Итого	5000.0	higher	1	SI	3	"KPI05 = SUM(A), где: 
А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде."	KPI05y = SUM(A); где А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	5000.0	higher	1	SI	3
5	shop_invoice	Итого	0.95		0	KPI		"KPI07 = A/B*100%, где: 
А - Сумма фактически принятого по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI07y = AVG(KPI07m), где KPI07m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.95		0	KPI	
6	shop_invoice	Итого	0.95	higher	1	KPI	main	"KPI08 = A/B*100%, где: 
А - количество коробов, вложения которых приняты своевременно. 
B - общее количество коробов, содержимое которых было принято."	KPI08y = AVG(KPI08m), где KPI08m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.95	higher	1	KPI	main
7	shop_invoice	Итого	0.9		1	KPI	4	"KPI06 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (60 шт.)"	KPI06y = AVG(KPI06m), где KPI06m - значения ежемесячных показателей.	1500 / (30 * 60) * 100% = 80%	Менеджер смены	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого	0.9		1	KPI	4
8	shop_transit	Итого			1	SI	2	"KPI09 = SUM(A), где: 
А - количество принятых транзитных коробов за отчетный период. 
Транзитным коробом считается номенклатура, имеющая признак ""Транзитный короб""."	KPI09y = SUM(KPI09m); где KPI09m - значение месячных показателей.	1500	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого			1	SI	2
9	shop_transit	Итого	10.0	lower	1	SI	3	"KPI11 = SUM(A); где: 
А - количество не принятых транзитных коробов на конец периода. "	KPI11y = SUM(A); где А - количество не принятых транзитных коробов на конец периода. 	50	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	10.0	lower	1	SI	3
