	ID KPI	Неделя	Категория	Краткое описание причины
0	KPI01	19.0	Инцидент	МФГ: Не своевременно разгрузка товара со склада,оператор ошибочно не завершил вовремя ;
1	KPI01	24.0	Отклонение	МФГ: Не своевременно разгрузка товара со склада по заданию 000010939 ,оператор ошибочно не завершил вовремя (Кабылбекова Р.);
2	KPI01	25.0	Отклонение	МФГ: В связи с большими расхождениями, пересчитывали 3 раза короба.;
3	KPI01	34.0	Отклонение	МФГ: задание 000012864 несвоевременно завершено. оператор ошибочно не завершил вовремя.; МФГ: задание 000012865 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
4	KPI01	35.0	Отклонение	МФГ: По заданиям 000012913, 000012997 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
5	KPI02	11.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
6	KPI02	18.0	Инцидент	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя ;
7	KPI02	21.0	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (000010567,000010535);
8	KPI02	22.0	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (10639, 010640);
9	KPI02	25.0	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
10	KPI02	26.0	Отклонение	МФГ: Не своевременно выгрузка оборудавния, по причине большого объема разгрузки. Номер ЗТС 000011327;
11	KPI02	34.0	Отклонение	МФГ: задание 000012831 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
12	KPI03	10.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
13	KPI03	18.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
14	KPI03	20.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
15	KPI03	25.0	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
16	KPI03	27.0	Отклонение	МФГ: По заданию ТС 000011468 не завершили своевременно, в связи с тем, что водитель приехал на погрузку после окончания рабочего дня. Завершить задание после окончания рабочего дня не представлялось возможным (нет доступа). Оператора в ночь не было.;
