index	id	week	category	description
0	KPI01	19	Инцидент	МФГ: Не своевременно разгрузка товара со склада,оператор ошибочно не завершил вовремя ;
1	KPI01	24	Отклонение	МФГ: Не своевременно разгрузка товара со склада по заданию 000010939 ,оператор ошибочно не завершил вовремя (Кабылбекова Р.);
2	KPI01	25	Отклонение	МФГ: В связи с большими расхождениями, пересчитывали 3 раза короба.;
3	KPI01	34	Отклонение	"МФГ: задание 000012864 несвоевременно завершено. оператор ошибочно не завершил вовремя.; 
МФГ: задание 000012865 несвоевременно завершено. оператор ошибочно не завершил вовремя.;"
4	KPI01	35	Отклонение	МФГ: По заданиям 000012913, 000012997 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
5	KPI02	11	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
6	KPI02	18	Инцидент	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя ;
7	KPI02	21	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (000010567,000010535);
8	KPI02	22	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (10639, 010640);
9	KPI02	25	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
10	KPI02	26	Отклонение	МФГ: Не своевременно выгрузка оборудавния, по причине большого объема разгрузки. Номер ЗТС 000011327;
11	KPI02	26	Сбой	МФГ: Склад При разгрузки водиля ,не посмотрел содержимое пакетов и отнес их на товарный склад,тем самым усложнил поиски данных пакетов;
12	KPI02	34	Отклонение	МФГ: задание 000012831 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
13	KPI03	10	Инцидент	"МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;"
14	KPI03	18	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
15	KPI03	20	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
16	KPI03	25	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
17	KPI03	27	Отклонение	МФГ: По заданию ТС 000011468 не завершили своевременно, в связи с тем, что водитель приехал на погрузку после окончания рабочего дня. Завершить задание после окончания рабочего дня не представлялось возможным (нет доступа). Оператора в ночь не было.;
18	KPI03	32	Отклонение	SL: По заданию ТС 000012416 грузилась машина на открытие валовой погрузкой.Мега-Парнас SL-2 (СПб);
19	KPI04	12	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
20	KPI04	20	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
21	KPI04	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
22	KPI04	22	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
23	KPI04	24	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине инвентаризации склада ;
24	KPI04	26	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
25	KPI04	28	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
26	KPI04	29	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
27	KPI04	30	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
28	KPI04	35	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
29	KPI05	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
30	KPI05	35	Отклонение	ZR: Запущена приемка на 21 тыс ед. ZR;
31	KPI08	13	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
32	KPI08	15	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
33	KPI08	16	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
34	KPI08	17	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
35	KPI08	19	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
36	KPI08	20	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
37	KPI08	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
38	KPI08	22	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
39	KPI08	28	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
40	KPI08	29	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
41	KPI08	30	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
42	KPI08	32	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
43	KPI08	33	Отклонение	"МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
44	KPI08	34	Отклонение	"МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
45	KPI08	35	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго;
46	KPI10	26	Инцидент	МФГ: По результатам недели очень низкая производительность у сотрудника Жаныбаев Улукбек;
47	KPI11	14	Инцидент	МФГ: Кол-во проблемных коробов 12 шт, письма написаны, по 3м из них активная переписка.;
48	KPI11	20	Инцидент	МФГ: Ожидание ответа от Бренда/ ОВЛ;
49	KPI11	22	Отклонение	МФГ: При инвентаризации был выявлен паллет с коробами из Техногрупп(16кор);
50	KPI13	12	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
51	KPI13	13	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
52	KPI13	14	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
53	KPI13	15	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
54	KPI13	16	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
55	KPI13	17	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
56	KPI13	19	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
57	KPI13	20	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
58	KPI13	21	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
59	KPI13	22	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
60	KPI13	24	Отклонение	"МФГ: Не своевременно закрыта приемки 10115460, 10115552_x000D_
;"
61	KPI13	26	Отклонение	МФГ: Не своевременно закрыта приемки ;
62	KPI13	28	Отклонение	ZR: Приемки транзитных коробов бренда BF и ZR были закрыты с опозданием, так как в результате физической приемки коробов были выявлены задввоенные короба. На выявление верного номера короба понадобилось дополнительное время. ;
63	KPI13	32	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
64	KPI13	33	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
