	id	week	value
0	KPI01	1	1.0
1	KPI02	1	1.0
2	KPI03	1	
3	KPI47	1	
4	KPI48	1	0.0
5	KPI04	1	53254.0
6	KPI05	1	25429.0
7	KPI06	1	1.2344541910331384
8	KPI08	1	0.0
9	KPI09	1	1473.0
10	KPI10	1	1.2591489361702128
11	KPI11	1	
12	KPI12	1	0.9690480639468493
13	KPI13	1	1.0
14	KPI15	1	
15	KPI16	1	1.00375
16	KPI17	1	0.0
17	KPI18	1	16966.0
18	KPI19	1	0.7676518883415435
19	KPI20	1	
20	KPI21	1	1.0
21	KPI22	1	1.0
22	KPI25	1	1330.0
23	KPI26	1	24.0
24	KPI27	1	1.0
25	KPI28	1	
26	KPI29	1	
27	KPI30	1	399.0
28	KPI31	1	2867.0
29	KPI32	1	0.9735104557077305
30	KPI33	1	0.6928125
31	KPI34	1	1.0
32	KPI35	1	
33	KPI36	1	185.0
34	KPI37	1	1.0
35	KPI38	1	0.23738872403560832
36	KPI39	1	1.0
37	KPI40	1	
38	KPI41	1	
39	KPI42	1	1.0
40	KPI43	1	1.0
41	KPI44	1	1.1590844384756886e-05
42	KPI45	1	0.39043023530657694
43	KPI46	1	
44	KPI01	2	0.8857142857142857
45	KPI02	2	0.9565217391304348
46	KPI03	2	1.0
47	KPI47	2	
48	KPI48	2	26.0
49	KPI04	2	53365.0
50	KPI05	2	8583.0
51	KPI06	2	0.9834394904458599
52	KPI08	2	0.0
53	KPI09	2	1897.0
54	KPI10	2	0.8861224489795918
55	KPI11	2	10.0
56	KPI12	2	0.9852500527288655
57	KPI13	2	0.9904477129465008
58	KPI15	2	1.0
59	KPI16	2	0.7605128205128205
60	KPI17	2	3327.0
61	KPI18	2	18287.0
62	KPI19	2	1.5225225225225225
63	KPI20	2	
64	KPI21	2	0.991578426221254
65	KPI22	2	1.0
66	KPI25	2	1813.0
67	KPI26	2	301.0
68	KPI27	2	1.0
69	KPI28	2	
70	KPI29	2	102.0
71	KPI30	2	399.0
72	KPI31	2	2673.0
73	KPI32	2	0.9807339003922936
74	KPI33	2	0.7046875
75	KPI34	2	0.666666666666667
76	KPI35	2	926.0
77	KPI36	2	184.0
78	KPI37	2	0.9814814814814815
79	KPI38	2	0.10512820512820513
80	KPI39	2	0.9961693829131701
81	KPI40	2	0.9833333333333334
82	KPI41	2	1.0
83	KPI42	2	1.0
84	KPI43	2	1.0
85	KPI44	2	1.23752305424721e-05
86	KPI45	2	0.3834863064439271
87	KPI46	2	116.0
88	KPI01	3	0.8703703703703703
89	KPI02	3	0.90625
90	KPI03	3	0.8333333333333334
91	KPI47	3	1.0
92	KPI48	3	323.0
93	KPI04	3	11596.0
94	KPI05	3	47.0
95	KPI06	3	0.605
96	KPI08	3	0.0
97	KPI09	3	7294.0
98	KPI10	3	0.8495061728395061
99	KPI11	3	10.0
100	KPI12	3	0.9985381821659157
101	KPI13	3	0.9227976232694253
102	KPI15	3	0.3333333333333333
103	KPI16	3	0.6107317073170732
104	KPI17	3	10756.0
105	KPI18	3	17677.0
106	KPI19	3	1.6524752475247524
107	KPI20	3	0.8072672672672673
108	KPI21	3	0.9333333333333332
109	KPI22	3	0.3115942028985507
110	KPI25	3	7743.0
111	KPI26	3	123.0
112	KPI27	3	1.0
113	KPI28	3	0.9864792660949259
